date,EX_g,G_g,GDP_g,I_g,IM_g,C_g,RELoansPctGDP
1974-01,0.11775163125917976,0.006492517532324937,0.006387757282945605,-0.01881332918224421,-0.08087339201083277,-0.008871707732950096,0.02065237316976575
1975-01,0.025278508779802866,0.022856682925258776,-0.022990596636949356,-0.20292610348817985,-0.07847470320307415,0.0015090605864489515,0.02339270921726065
1976-01,0.0014742031949241952,0.020522850800932968,0.061523864866092515,0.17831587680182515,0.11540946696686682,0.0628136608930514,0.022871466168605147
1977-01,0.033080535246626575,-0.006248137864924397,0.03225978436200028,0.09969977642925576,0.1749175114588155,0.045234607690361806,0.024442840144262002
1978-01,0.025384146754213743,0.01104411313760334,0.041170696113854044,0.11907149892024238,0.07699873435093552,0.035976699273988055,0.027810965638517923
1979-01,0.16158898864536586,0.033541545666526895,0.06509898984026496,0.12318604036878411,0.027439348138499353,0.039299112048913676,0.03125598685465452
1980-01,0.13485358680363135,0.03432362015851087,0.014207812865719038,-0.04174873736077056,0.01232662454438338,0.010140005369654759,0.03549909976262281
1981-01,0.02952886031068802,0.001326672023129083,0.015999816310917625,0.020701939018391347,-0.054498305223179555,0.004908071833263916,0.03784691383757289
1982-01,-0.054396653411647344,0.010036082406227997,-0.02190342306840798,-0.11548395767404651,-0.010725983515099236,0.00517650430452643,0.04188956740650825
1983-01,-0.06789883718836742,0.0373218277951195,0.014314605795718416,-0.05479749628752084,0.011514159238372512,0.037616579111800164,0.04361121880216083
1984-01,0.06023178807947027,0.01992630551515262,0.08578274046508594,0.3919067246372441,0.315618840253032,0.06396848992281945,0.04433914876063207
1985-01,0.071642358183162,0.06307339634196407,0.04555112929721106,0.012634346511141148,0.07592747183044679,0.05234425129500164,0.04815069105052538
1986-01,0.0443540454882152,0.05809521645726523,0.04145523524500194,0.047021778780056867,0.07856865757861686,0.03957799776620807,0.05208638830484195
1987-01,0.07348297048030528,0.0448630560225145,0.02716134287067362,-0.015146731568668304,0.07342958292889024,0.036123085330468374,0.05978087032985938
1988-01,0.18950341950144822,0.015394128319871081,0.04242281596142372,0.017539008697786018,0.06399494314698373,0.04553339404058043,0.0674125381690282
1989-01,0.11254154563417984,0.01807334580649811,0.04315206201577393,0.08070115250967214,0.04747340699841174,0.032658375530724815,0.07373341868182723
1990-01,0.11689319371213513,0.04612071345739688,0.028213017007731045,-0.016171134289562294,0.05392379536974534,0.027376985299470302,0.08131101743064356
1991-01,0.03537153744687083,0.015899747680028664,-0.009501950623666433,-0.10476671208522292,-0.04340156883946478,-0.004399090505627257,0.09083476789731165
1992-01,0.1044768513406773,0.002737692025027494,0.02858652591919153,0.03644980212046911,0.07730252448829167,0.03177100148836054,0.09121576875854935
1993-01,0.029182046549779406,-0.008151685015972632,0.03320909478216971,0.12331760979220818,0.0800672082003675,0.033656972005379204,0.08991162598862061
1994-01,0.05202556882924125,-0.007387367205021533,0.034309402736156125,0.0914610924266075,0.10070530196369853,0.04105673746838501,0.0912608497398261
1995-01,0.11834239677267377,0.016542009993587126,0.0348112279238868,0.08578449268443356,0.12049110320284684,0.028998290110497926,0.09396237202242413
1996-01,0.08592340911977625,-0.0032114038179791304,0.026011121012811333,0.01358638723143435,0.059261181684623354,0.034462637626952564,0.09836411812426371
1997-01,0.10900376923729249,0.014136971546539812,0.043140643984745264,0.11630750976039184,0.12232151041412354,0.03578093586794795,0.10002650517914392
1998-01,0.06755858839411899,0.01909545514891353,0.048552862413130615,0.1397216607548295,0.13581447466445207,0.04428419585317456,0.10336235343950544
1999-01,0.019481588692561003,0.03822638453639171,0.04824066557103879,0.07969062989658404,0.09801979266491312,0.05591916053338419,0.1060925675141271
2000-01,0.07987259922296497,0.02449238038069046,0.0419957828941071,0.0482053658835615,0.13464987067609524,0.05705827826005816,0.11407874341573265
2001-01,0.029141424301321495,0.0269827583274016,0.02309709576136343,0.003142515492162934,0.04976147374916651,0.032458562725406814,0.12385459388369538
2002-01,-0.0896327563943724,0.05107382913478631,0.013182794121317176,-0.04129269384975365,-0.035671196668680905,0.02396377062000976,0.1309476776968459
2003-01,0.01743425437472701,0.022064212970696273,0.017709260624130696,0.022102476289982853,0.05856829619841064,0.023024288373481028,0.14824521739474836
2004-01,0.0995886755950397,0.02257503253345683,0.04304555592447912,0.08088845419696788,0.09656549203148446,0.04221213800530199,0.1557812952780813
2005-01,0.0703736074000878,0.00896723651496778,0.03870679348156658,0.1084218633438847,0.08795480867085215,0.03441519694868256,0.17352836205578787
2006-01,0.0896529290960586,0.016257071143491064,0.033538948585265294,0.0475591602170371,0.07494901011696653,0.03561573129792617,0.19220787336053527
2007-01,0.07744953026226753,0.0079473617993977,0.014822926220208199,-0.03615981279782288,0.033956729035020894,0.026666525414009712,0.21763212526062828
2008-01,0.08638591263983564,0.02374714495753727,0.01149236626243244,-0.037497769098842726,0.0043227135115642135,0.007683990767623605,0.23042857162000316
2009-01,-0.11015266202179441,0.034352513315062616,-0.03289071551630118,-0.2308747923645108,-0.15086112400457807,-0.017354712028235464,0.2500697284365074
2010-01,0.11738913392023398,0.015014189371855835,0.01710253537556894,0.05049513172894726,0.07214047501615828,0.006284502669197334,0.2445596068022714
2011-01,0.09171654546486607,-0.02171321566980855,0.019306273148906428,0.0752549743169102,0.10059184863953696,0.026061543127161135,0.22962071448455187
2012-01,0.04401541947886334,-0.02579864776864571,0.026517566557714867,0.14834235717108823,0.03702945033189531,0.016070940960528413,0.21761092681707425
2013-01,0.026450539487894664,-0.025373461692937527,0.015719476053010828,0.05650451253066824,0.0034961867882625786,0.012838704991560146,0.21749167000550082
2014-01,0.040784906040126634,-0.01901154513618286,0.014257249176644837,0.042423216288658194,0.03900158268342779,0.017440143614655845,0.212706869179745
2015-01,0.024568779460262258,0.012632876596240683,0.03978204848903566,0.09800911606190632,0.07101293840337508,0.04281032778597216,0.2109729545457176
2016-01,-0.012022254821583145,0.0274516918872445,0.016163085339497618,-0.019815399819988477,0.017267625555708044,0.028162453245256458,0.22111194959411543
2017-01,0.03343067262187516,0.004563496166860359,0.020984244373374983,0.028016398277938448,0.04234134125799782,0.02595500211395163,0.2302655259149437
2018-01,0.04147253986966559,0.013872806372983826,0.028618726561004282,0.05462324693905951,0.047067845052521484,0.027655504531028274,0.23276726201949488
2019-01,0.012041366642815188,0.01781059120079176,0.026522413673225387,0.051108361369226474,0.026458226054196343,0.02506590444016532,0.23377896698421707
