DATE,RELACBW027SBOG
1989-02-08,680.2748
1989-02-15,682.8251
1989-02-22,684.3016
1989-03-01,685.2518
1989-03-08,685.9814
1989-03-15,687.6553
1989-03-22,688.8745
1989-03-29,691.8135
1989-04-05,695.586
1989-04-12,696.3999
1989-04-19,698.7692
1989-04-26,700.2274
1989-05-03,700.6819
1989-05-10,702.132
1989-05-17,704.3052
1989-05-24,706.0008
1989-05-31,706.7155
1989-06-07,708.8384
1989-06-14,710.5916
1989-06-21,712.9585
1989-06-28,714.1335
1989-07-05,716.7107
1989-07-12,717.8886
1989-07-19,720.9008
1989-07-26,722.8159
1989-08-02,724.5575
1989-08-09,726.9969
1989-08-16,729.6126
1989-08-23,731.8458
1989-08-30,734.3992
1989-09-06,736.7659
1989-09-13,738.1819
1989-09-20,739.5565
1989-09-27,740.6357
1989-10-04,741.3511
1989-10-11,742.5867
1989-10-18,744.3478
1989-10-25,747.0077
1989-11-01,749.2513
1989-11-08,750.0592
1989-11-15,751.4853
1989-11-22,753.7424
1989-11-29,755.3461
1989-12-06,757.3663
1989-12-13,758.868
1989-12-20,760.2209
1989-12-27,761.946
1990-01-03,760.932
1990-01-10,763.2121
1990-01-17,764.8391
1990-01-24,768.084
1990-01-31,768.7242
1990-02-07,771.797
1990-02-14,773.5443
1990-02-21,775.9876
1990-02-28,777.497
1990-03-07,778.2601
1990-03-14,780.8565
1990-03-21,782.3225
1990-03-28,783.7283
1990-04-04,785.2458
1990-04-11,786.8687
1990-04-18,788.3116
1990-04-25,790.6548
1990-05-02,792.0761
1990-05-09,794.2978
1990-05-16,796.1713
1990-05-23,800.2599
1990-05-30,801.7215
1990-06-06,802.8272
1990-06-13,803.8028
1990-06-20,806.0854
1990-06-27,807.7997
1990-07-04,809.4268
1990-07-11,812.2389
1990-07-18,814.5471
1990-07-25,815.8305
1990-08-01,817.9156
1990-08-08,818.7305
1990-08-15,818.975
1990-08-22,819.7875
1990-08-29,819.5838
1990-09-05,819.9295
1990-09-12,822.143
1990-09-19,823.6321
1990-09-26,824.7334
1990-10-03,825.4924
1990-10-10,827.1954
1990-10-17,829.1108
1990-10-24,830.5048
1990-10-31,831.014
1990-11-07,832.7675
1990-11-14,833.2405
1990-11-21,835.53
1990-11-28,834.8164
1990-12-05,838.7505
1990-12-12,839.0466
1990-12-19,844.0307
1990-12-26,843.7936
1991-01-02,841.9808
1991-01-09,844.418
1991-01-16,846.1764
1991-01-23,847.9021
1991-01-30,848.4861
1991-02-06,849.2487
1991-02-13,849.7279
1991-02-20,852.8456
1991-02-27,854.5664
1991-03-06,855.1927
1991-03-13,856.7375
1991-03-20,858.2529
1991-03-27,858.2465
1991-04-03,858.6494
1991-04-10,859.987
1991-04-17,859.996
1991-04-24,861.9782
1991-05-01,861.4335
1991-05-08,861.6752
1991-05-15,860.9114
1991-05-22,862.6396
1991-05-29,863.7562
1991-06-05,865.6713
1991-06-12,865.7322
1991-06-19,866.1839
1991-06-26,866.0763
1991-07-03,865.5461
1991-07-10,866.2039
1991-07-17,863.9141
1991-07-24,864.809
1991-07-31,862.616
1991-08-07,862.8222
1991-08-14,863.6259
1991-08-21,864.2736
1991-08-28,863.9243
1991-09-04,864.4306
1991-09-11,864.8723
1991-09-18,863.7268
1991-09-25,864.0144
1991-10-02,864.57
1991-10-09,864.9047
1991-10-16,864.8736
1991-10-23,866.4788
1991-10-30,866.9218
1991-11-06,866.4132
1991-11-13,866.7737
1991-11-20,867.9843
1991-11-27,867.4549
1991-12-04,867.1663
1991-12-11,867.3667
1991-12-18,867.7622
1991-12-25,868.4157
1992-01-01,869.6827
1992-01-08,869.8435
1992-01-15,869.4107
1992-01-22,870.8131
1992-01-29,873.0959
1992-02-05,873.8535
1992-02-12,873.7487
1992-02-19,873.4505
1992-02-26,873.0202
1992-03-04,872.9154
1992-03-11,874.2208
1992-03-18,873.4693
1992-03-25,872.9991
1992-04-01,879.8581
1992-04-08,879.8573
1992-04-15,881.4022
1992-04-22,881.1168
1992-04-29,882.1392
1992-05-06,883.0357
1992-05-13,883.0952
1992-05-20,882.4662
1992-05-27,879.7381
1992-06-03,879.7895
1992-06-10,880.605
1992-06-17,879.5221
1992-06-24,878.41
1992-07-01,878.7813
1992-07-08,878.4371
1992-07-15,877.5899
1992-07-22,878.3847
1992-07-29,879.5348
1992-08-05,880.2612
1992-08-12,879.7165
1992-08-19,879.4016
1992-08-26,880.3717
1992-09-02,881.8085
1992-09-09,882.3191
1992-09-16,882.4026
1992-09-23,883.3539
1992-09-30,883.8206
1992-10-07,885.5135
1992-10-14,884.8934
1992-10-21,885.056
1992-10-28,886.7911
1992-11-04,887.5208
1992-11-11,888.3269
1992-11-18,886.9271
1992-11-25,886.5928
1992-12-02,885.9236
1992-12-09,887.953
1992-12-16,888.2188
1992-12-23,888.1103
1992-12-30,887.7561
1993-01-06,885.717
1993-01-13,887.243
1993-01-20,886.2133
1993-01-27,885.1749
1993-02-03,886.1479
1993-02-10,886.9428
1993-02-17,886.6344
1993-02-24,886.4915
1993-03-03,888.9737
1993-03-10,889.125
1993-03-17,887.9727
1993-03-24,889.7242
1993-03-31,892.9396
1993-04-07,891.8402
1993-04-14,892.2555
1993-04-21,891.8806
1993-04-28,893.9791
1993-05-05,895.7706
1993-05-12,897.6718
1993-05-19,897.2257
1993-05-26,899.0207
1993-06-02,901.2092
1993-06-09,901.9119
1993-06-16,902.3513
1993-06-23,900.9652
1993-06-30,904.4599
1993-07-07,904.4688
1993-07-14,904.0458
1993-07-21,903.7122
1993-07-28,904.6592
1993-08-04,906.395
1993-08-11,907.3887
1993-08-18,906.5387
1993-08-25,906.7597
1993-09-01,909.2545
1993-09-08,910.3052
1993-09-15,910.2708
1993-09-22,909.7575
1993-09-29,912.2625
1993-10-06,913.2972
1993-10-13,915.5484
1993-10-20,915.3582
1993-10-27,914.6755
1993-11-03,915.1821
1993-11-10,917.4491
1993-11-17,917.2048
1993-11-24,918.4132
1993-12-01,926.4741
1993-12-08,927.6638
1993-12-15,929.668
1993-12-22,926.8797
1993-12-29,930.2259
1994-01-05,929.8526
1994-01-12,930.7228
1994-01-19,928.7623
1994-01-26,928.3797
1994-02-02,930.402
1994-02-09,930.5656
1994-02-16,929.5174
1994-02-23,928.1798
1994-03-02,929.9274
1994-03-09,930.9055
1994-03-16,931.5293
1994-03-23,931.8144
1994-03-30,933.3455
1994-04-06,935.0273
1994-04-13,936.3914
1994-04-20,935.3142
1994-04-27,934.4473
1994-05-04,937.4225
1994-05-11,938.9527
1994-05-18,938.4432
1994-05-25,940.3855
1994-06-01,943.0282
1994-06-08,943.2114
1994-06-15,943.9212
1994-06-22,943.7736
1994-06-29,947.4804
1994-07-06,948.0849
1994-07-13,950.5928
1994-07-20,951.9714
1994-07-27,953.0478
1994-08-03,954.1199
1994-08-10,954.2844
1994-08-17,957.2246
1994-08-24,958.5681
1994-08-31,961.3816
1994-09-07,961.2583
1994-09-14,963.758
1994-09-21,966.7413
1994-09-28,967.4851
1994-10-05,969.4664
1994-10-12,969.8043
1994-10-19,971.1942
1994-10-26,971.579
1994-11-02,974.5321
1994-11-09,974.6639
1994-11-16,977.5594
1994-11-23,979.4895
1994-11-30,980.2653
1994-12-07,983.7979
1994-12-14,985.6044
1994-12-21,990.0062
1994-12-28,990.5136
1995-01-04,990.7058
1995-01-11,993.1543
1995-01-18,996.3517
1995-01-25,999.7888
1995-02-01,1002.5915
1995-02-08,1002.2636
1995-02-15,1004.3512
1995-02-22,1008.7847
1995-03-01,1010.4474
1995-03-08,1009.4723
1995-03-15,1012.2766
1995-03-22,1015.8133
1995-03-29,1016.5204
1995-04-05,1015.9582
1995-04-12,1016.8293
1995-04-19,1020.2956
1995-04-26,1022.7002
1995-05-03,1024.1511
1995-05-10,1025.0149
1995-05-17,1026.7067
1995-05-24,1029.914
1995-05-31,1030.9144
1995-06-07,1031.7913
1995-06-14,1032.6249
1995-06-21,1036.4249
1995-06-28,1038.2832
1995-07-05,1039.928
1995-07-12,1043.036
1995-07-19,1045.6042
1995-07-26,1046.2276
1995-08-02,1047.232
1995-08-09,1046.4109
1995-08-16,1048.6128
1995-08-23,1051.107
1995-08-30,1051.4257
1995-09-06,1051.2626
1995-09-13,1053.4748
1995-09-20,1056.2019
1995-09-27,1057.0806
1995-10-04,1056.187
1995-10-11,1056.0297
1995-10-18,1056.3068
1995-10-25,1058.6335
1995-11-01,1058.647
1995-11-08,1060.1334
1995-11-15,1060.5279
1995-11-22,1062.1683
1995-11-29,1060.4963
1995-12-06,1059.9899
1995-12-13,1060.1529
1995-12-20,1063.7829
1995-12-27,1062.7231
1996-01-03,1064.0928
1996-01-10,1067.1876
1996-01-17,1067.8586
1996-01-24,1069.5655
1996-01-31,1070.7952
1996-02-07,1068.5484
1996-02-14,1069.7974
1996-02-21,1073.42
1996-02-28,1073.9612
1996-03-06,1074.1017
1996-03-13,1076.7668
1996-03-20,1078.8498
1996-03-27,1080.1313
1996-04-03,1076.4241
1996-04-10,1077.4156
1996-04-17,1080.6243
1996-04-24,1080.8322
1996-05-01,1079.6346
1996-05-08,1079.473
1996-05-15,1081.6485
1996-05-22,1083.5956
1996-05-29,1082.0206
1996-06-05,1081.9494
1996-06-12,1084.3777
1996-06-19,1086.0023
1996-06-26,1086.6147
1996-07-03,1083.7798
1996-07-10,1084.0938
1996-07-17,1077.7204
1996-07-24,1079.938
1996-07-31,1079.8391
1996-08-07,1084.3772
1996-08-14,1087.5756
1996-08-21,1092.4607
1996-08-28,1091.656
1996-09-04,1091.9577
1996-09-11,1094.7192
1996-09-18,1092.724
1996-09-25,1099.3052
1996-10-02,1102.159
1996-10-09,1102.5279
1996-10-16,1104.5976
1996-10-23,1106.8217
1996-10-30,1106.473
1996-11-06,1105.134
1996-11-13,1106.3587
1996-11-20,1115.1312
1996-11-27,1116.7557
1996-12-04,1120.3038
1996-12-11,1118.6423
1996-12-18,1122.6241
1996-12-25,1124.0725
1997-01-01,1128.7578
1997-01-08,1127.3423
1997-01-15,1127.6158
1997-01-22,1131.073
1997-01-29,1133.6107
1997-02-05,1132.9281
1997-02-12,1133.6221
1997-02-19,1135.5387
1997-02-26,1135.4989
1997-03-05,1142.9016
1997-03-12,1146.0214
1997-03-19,1147.5941
1997-03-26,1150.3545
1997-04-02,1151.7531
1997-04-09,1157.0632
1997-04-16,1158.6255
1997-04-23,1162.4718
1997-04-30,1166.9319
1997-05-07,1166.6987
1997-05-14,1168.0466
1997-05-21,1173.6994
1997-05-28,1176.2778
1997-06-04,1180.2565
1997-06-11,1181.4495
1997-06-18,1183.8863
1997-06-25,1185.1081
1997-07-02,1186.8507
1997-07-09,1187.2305
1997-07-16,1188.8679
1997-07-23,1193.0367
1997-07-30,1193.5123
1997-08-06,1193.1252
1997-08-13,1191.9957
1997-08-20,1198.18
1997-08-27,1198.697
1997-09-03,1203.2714
1997-09-10,1206.1311
1997-09-17,1207.8174
1997-09-24,1208.0327
1997-10-01,1213.9063
1997-10-08,1214.418
1997-10-15,1212.8279
1997-10-22,1215.9788
1997-10-29,1215.8135
1997-11-05,1218.2199
1997-11-12,1221.0205
1997-11-19,1218.7557
1997-11-26,1219.4917
1997-12-03,1217.8168
1997-12-10,1219.7313
1997-12-17,1220.4919
1997-12-24,1221.826
1997-12-31,1221.5896
1998-01-07,1223.0336
1998-01-14,1221.3708
1998-01-21,1225.9731
1998-01-28,1226.0476
1998-02-04,1228.8066
1998-02-11,1235.6986
1998-02-18,1238.2028
1998-02-25,1241.1405
1998-03-04,1244.5179
1998-03-11,1249.192
1998-03-18,1251.0968
1998-03-25,1254.2262
1998-04-01,1260.5417
1998-04-08,1260.6421
1998-04-15,1257.9813
1998-04-22,1255.4117
1998-04-29,1261.4159
1998-05-06,1261.2395
1998-05-13,1260.693
1998-05-20,1255.9907
1998-05-27,1261.457
1998-06-03,1259.7861
1998-06-10,1257.7853
1998-06-17,1260.1326
1998-06-24,1262.4864
1998-07-01,1264.6396
1998-07-08,1265.8541
1998-07-15,1264.0929
1998-07-22,1263.4995
1998-07-29,1267.6013
1998-08-05,1270.7238
1998-08-12,1274.2686
1998-08-19,1267.3845
1998-08-26,1272.9891
1998-09-02,1276.2423
1998-09-09,1274.3428
1998-09-16,1273.5512
1998-09-23,1274.0324
1998-09-30,1278.0842
1998-10-07,1279.1383
1998-10-14,1278.9674
1998-10-21,1281.5702
1998-10-28,1290.0213
1998-11-04,1297.1861
1998-11-11,1301.7192
1998-11-18,1298.1416
1998-11-25,1305.1676
1998-12-02,1309.9728
1998-12-09,1314.9816
1998-12-16,1307.386
1998-12-23,1308.4096
1998-12-30,1314.1097
1999-01-06,1315.8972
1999-01-13,1321.5003
1999-01-20,1316.7418
1999-01-27,1314.2181
1999-02-03,1320.4606
1999-02-10,1322.4767
1999-02-17,1320.5368
1999-02-24,1316.41
1999-03-03,1322.1624
1999-03-10,1327.3884
1999-03-17,1327.7594
1999-03-24,1323.855
1999-03-31,1327.5038
1999-04-07,1331.1261
1999-04-14,1329.9012
1999-04-21,1335.5327
1999-04-28,1330.9742
1999-05-05,1334.1707
1999-05-12,1341.1631
1999-05-19,1343.1917
1999-05-26,1341.0198
1999-06-02,1344.8623
1999-06-09,1347.5848
1999-06-16,1348.5952
1999-06-23,1347.8568
1999-06-30,1345.0934
1999-07-07,1345.9395
1999-07-14,1349.5295
1999-07-21,1358.8702
1999-07-28,1359.5721
1999-08-04,1362.7079
1999-08-11,1366.6059
1999-08-18,1372.7938
1999-08-25,1372.096
1999-09-01,1374.321
1999-09-08,1374.8321
1999-09-15,1377.6083
1999-09-22,1400.1564
1999-09-29,1402.2856
1999-10-06,1403.9413
1999-10-13,1409.3953
1999-10-20,1413.6927
1999-10-27,1415.2773
1999-11-03,1416.5207
1999-11-10,1418.2266
1999-11-17,1424.5506
1999-11-24,1427.8251
1999-12-01,1432.7682
1999-12-08,1448.0733
1999-12-15,1455.7741
1999-12-22,1467.0734
1999-12-29,1469.8804
2000-01-05,1474.3741
2000-01-12,1478.2899
2000-01-19,1486.0702
2000-01-26,1483.4914
2000-02-02,1480.7928
2000-02-09,1481.3723
2000-02-16,1487.5195
2000-02-23,1496.3002
2000-03-01,1506.871
2000-03-08,1507.0858
2000-03-15,1516.0768
2000-03-22,1523.1394
2000-03-29,1521.8484
2000-04-05,1531.1033
2000-04-12,1534.5226
2000-04-19,1541.569
2000-04-26,1547.8958
2000-05-03,1553.6523
2000-05-10,1556.6766
2000-05-17,1562.2326
2000-05-24,1570.9706
2000-05-31,1575.0576
2000-06-07,1576.0903
2000-06-14,1580.881
2000-06-21,1588.4434
2000-06-28,1593.7135
2000-07-05,1592.6815
2000-07-12,1595.8553
2000-07-19,1601.6985
2000-07-26,1604.8189
2000-08-02,1607.6896
2000-08-09,1606.4397
2000-08-16,1611.4689
2000-08-23,1618.6538
2000-08-30,1620.0819
2000-09-06,1620.1573
2000-09-13,1622.8994
2000-09-20,1628.9779
2000-09-27,1627.0395
2000-10-04,1621.1492
2000-10-11,1621.2571
2000-10-18,1625.1456
2000-10-25,1626.7699
2000-11-01,1630.5179
2000-11-08,1629.5992
2000-11-15,1632.2794
2000-11-22,1639.3645
2000-11-29,1637.9677
2000-12-06,1639.2218
2000-12-13,1633.2026
2000-12-20,1640.3366
2000-12-27,1642.4761
2001-01-03,1637.6909
2001-01-10,1636.2966
2001-01-17,1636.6726
2001-01-24,1642.996
2001-01-31,1651.7219
2001-02-07,1647.0135
2001-02-14,1648.8723
2001-02-21,1656.5711
2001-02-28,1666.9112
2001-03-07,1665.3505
2001-03-14,1660.2306
2001-03-21,1670.37
2001-03-28,1672.9787
2001-04-04,1675.9086
2001-04-11,1682.5974
2001-04-18,1682.9222
2001-04-25,1681.4714
2001-05-02,1689.6159
2001-05-09,1692.2933
2001-05-16,1692.6771
2001-05-23,1694.2051
2001-05-30,1702.6594
2001-06-06,1700.381
2001-06-13,1696.9387
2001-06-20,1698.3755
2001-06-27,1704.9037
2001-07-04,1699.3799
2001-07-11,1702.9162
2001-07-18,1703.567
2001-07-25,1701.8099
2001-08-01,1703.9668
2001-08-08,1700.8579
2001-08-15,1703.399
2001-08-22,1704.5978
2001-08-29,1706.1663
2001-09-05,1708.4755
2001-09-12,1714.551
2001-09-19,1718.5411
2001-09-26,1717.5821
2001-10-03,1708.0481
2001-10-10,1710.9481
2001-10-17,1715.8668
2001-10-24,1718.2634
2001-10-31,1727.6574
2001-11-07,1728.5774
2001-11-14,1735.7726
2001-11-21,1742.6455
2001-11-28,1745.5521
2001-12-05,1754.3942
2001-12-12,1766.9984
2001-12-19,1758.7782
2001-12-26,1752.4265
2002-01-02,1754.3063
2002-01-09,1750.624
2002-01-16,1754.3554
2002-01-23,1757.5993
2002-01-30,1758.0188
2002-02-06,1764.6613
2002-02-13,1767.1536
2002-02-20,1769.7678
2002-02-27,1765.1709
2002-03-06,1763.3717
2002-03-13,1766.8061
2002-03-20,1773.1861
2002-03-27,1777.0545
2002-04-03,1776.8754
2002-04-10,1782.6176
2002-04-17,1780.7543
2002-04-24,1785.4436
2002-05-01,1783.9545
2002-05-08,1783.8638
2002-05-15,1787.2477
2002-05-22,1793.8946
2002-05-29,1795.505
2002-06-05,1801.6768
2002-06-12,1813.8172
2002-06-19,1820.6654
2002-06-26,1823.5284
2002-07-03,1826.2513
2002-07-10,1831.9204
2002-07-17,1833.1927
2002-07-24,1842.6199
2002-07-31,1845.2222
2002-08-07,1852.0825
2002-08-14,1863.9916
2002-08-21,1867.9593
2002-08-28,1877.522
2002-09-04,1882.8567
2002-09-11,1893.2684
2002-09-18,1903.1907
2002-09-25,1902.4283
2002-10-02,1926.4717
2002-10-09,1938.5655
2002-10-16,1942.2515
2002-10-23,1949.3171
2002-10-30,1959.476
2002-11-06,1969.6147
2002-11-13,1984.4502
2002-11-20,1974.6398
2002-11-27,1986.7299
2002-12-04,1993.7904
2002-12-11,2007.914
2002-12-18,2008.0458
2002-12-25,2012.2485
2003-01-01,2021.2128
2003-01-08,2026.5209
2003-01-15,2028.5367
2003-01-22,2033.1975
2003-01-29,2041.9713
2003-02-05,2056.304
2003-02-12,2068.6628
2003-02-19,2066.0006
2003-02-26,2073.5663
2003-03-05,2080.0437
2003-03-12,2092.4145
2003-03-19,2081.8646
2003-03-26,2076.9764
2003-04-02,2085.2195
2003-04-09,2102.004
2003-04-16,2107.4005
2003-04-23,2108.1826
2003-04-30,2117.4572
2003-05-07,2130.3409
2003-05-14,2134.7534
2003-05-21,2130.1129
2003-05-28,2126.5412
2003-06-04,2140.702
2003-06-11,2155.6565
2003-06-18,2147.8517
2003-06-25,2142.4926
2003-07-02,2169.2915
2003-07-09,2175.4467
2003-07-16,2171.8343
2003-07-23,2171.806
2003-07-30,2189.6053
2003-08-06,2216.4957
2003-08-13,2216.2373
2003-08-20,2221.3244
2003-08-27,2221.5362
2003-09-03,2237.9015
2003-09-10,2249.7296
2003-09-17,2241.542
2003-09-24,2220.7956
2003-10-01,2226.5344
2003-10-08,2224.9122
2003-10-15,2222.9327
2003-10-22,2206.3404
2003-10-29,2198.8622
2003-11-05,2205.4059
2003-11-12,2204.8399
2003-11-19,2201.6563
2003-11-26,2201.0568
2003-12-03,2199.1501
2003-12-10,2201.4039
2003-12-17,2203.3938
2003-12-24,2208.4802
2003-12-31,2219.335
2004-01-07,2215.3887
2004-01-14,2217.13
2004-01-21,2227.2476
2004-01-28,2232.0872
2004-02-04,2236.8293
2004-02-11,2246.0876
2004-02-18,2255.2008
2004-02-25,2256.5403
2004-03-03,2264.1553
2004-03-10,2274.9765
2004-03-17,2287.3311
2004-03-24,2292.9258
2004-03-31,2310.1926
2004-04-07,2316.6085
2004-04-14,2341.8908
2004-04-21,2352.8413
2004-04-28,2355.3341
2004-05-05,2367.8448
2004-05-12,2383.291
2004-05-19,2382.9715
2004-05-26,2387.2257
2004-06-02,2397.7322
2004-06-09,2405.2904
2004-06-16,2412.0463
2004-06-23,2414.5
2004-06-30,2411.0482
2004-07-07,2404.5278
2004-07-14,2418.4741
2004-07-21,2419.0749
2004-07-28,2412.5375
2004-08-04,2416.9298
2004-08-11,2429.0941
2004-08-18,2438.3608
2004-08-25,2443.3933
2004-09-01,2452.5008
2004-09-08,2451.3279
2004-09-15,2462.2012
2004-09-22,2477.5279
2004-09-29,2475.1722
2004-10-06,2479.2085
2004-10-13,2488.6994
2004-10-20,2499.1524
